;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
138;114074;11;1;1011105;2018;9;18;3;3;3;6;0;0;1;0;1;0;0;0;796747,7719;5826665,44;13,37346464;52,50916562
139;114075;11;4;4020311;2018;6;15;3;3;1;5;0;1;1;0;0;0;0;0;789448,3906;5826205,97;13,26581496;52,50896847
140;114076;11;4;4020314;2018;7;23;7;2;3;7;2;0;1;0;1;0;0;0;790503,1269;5825463,717;13,28066465;52,50175346
141;114077;11;7;7040405;2018;5;12;1;3;2;6;0;0;1;0;0;0;0;0;798278,8266;5822233,796;13,3919909;52,46860645
142;114078;11;2;2020202;2018;3;8;6;3;6;6;0;1;0;1;0;0;0;0;797827,56;5824960,189;13,38780284;52,49329165
143;114079;11;2;2040703;2018;11;19;7;3;6;7;2;1;0;1;0;0;0;0;801874,6782;5826527,725;13,44865466;52,5051185
144;114081;11;4;4041137;2018;10;13;4;3;2;6;0;0;1;0;0;0;0;0;791436,9531;5824476,639;13,29351933;52,49240641
145;114082;11;7;7040403;2018;8;16;2;3;6;2;0;0;1;1;0;0;0;0;797829,1622;5822372,144;13,38551442;52,4700919
146;114083;11;4;4020314;2018;4;17;1;3;2;6;0;0;1;0;0;0;0;0;790538,3225;5825776,298;13,28145445;52,50453704
147;114084;11;7;7040405;2018;4;1;2;3;9;1;2;0;1;0;0;0;0;1;799053,1242;5821759,856;13,40293075;52,46393491
148;114085;11;11;11030721;2018;5;10;2;2;2;6;0;0;1;0;0;0;0;0;804499,9012;5827506,225;13,48810864;52,51242968
149;114086;11;7;7050502;2018;10;21;4;3;5;2;2;0;1;0;0;0;0;0;798467,0339;5818154,763;13,39110836;52,43193989
150;114087;11;12;12103117;2018;3;17;6;3;5;3;1;1;1;0;0;0;0;0;795798,7263;5832512,018;13,36472555;52,56209019
151;114088;11;3;3061131;2018;12;5;1;3;6;4;2;1;0;1;0;0;0;1;799141,7426;5830378,27;13,41197365;52,54113816
152;114089;11;7;7040402;2018;9;18;4;2;2;1;0;0;1;0;0;0;0;0;796438,1066;5822616,383;13,36531297;52,47303791
153;114090;11;3;2040501;2018;8;20;5;3;3;6;1;1;1;0;0;0;0;1;799987,6921;5828911,663;13,42308629;52,52752742
154;114091;11;5;5020628;2018;6;12;5;2;6;4;0;0;1;1;0;0;0;0;784360,9621;5826489,396;13,19129987;52,51418553
155;114092;11;1;1033203;2018;7;16;3;3;0;7;0;1;0;0;0;0;1;0;796218,7227;5830206,263;13,36884623;52,54119318
156;114093;11;7;7040403;2018;3;16;6;3;2;6;0;0;1;0;0;0;0;0;797855,6406;5822161,337;13,38571487;52,46818781
157;114094;11;4;4020310;2018;11;17;7;3;2;6;2;0;1;0;0;0;0;0;790440,0364;5827683,633;13,28167519;52,52168876
158;114095;11;3;3040818;2018;6;16;5;2;0;2;0;1;1;0;0;0;0;0;799130,8742;5832326,68;13,41356905;52,55860859
159;114096;11;10;10010206;2018;5;12;3;2;2;6;0;0;1;0;1;0;0;0;808670,9692;5832804,27;13,55429795;52,55756529
160;114097;11;12;12103115;2018;12;20;1;3;2;6;2;0;1;0;0;0;0;1;795428,1807;5833573,853;13,36022075;52,57180971
161;114098;11;4;4030622;2018;10;14;5;2;3;6;0;0;1;0;1;0;0;0;792685,9923;5826754,486;13,31386613;52,51215835
162;114099;11;3;3040513;2018;3;19;6;2;0;1;2;1;0;0;0;0;0;0;798007,0171;5833641,803;13,39822143;52,57101301
163;114100;11;2;2010101;2018;7;15;2;3;5;3;0;0;1;0;0;0;0;0;797886,7116;5825488,43;13,38914389;52,49799442
